phase_id,phase_name,status,current_owner,input_needed,source_files,output_files,blockers,next_action,last_updated
17,Reviewed public dataset distribution and earned links,done/live-distribution-active,Codex,"Restored Golem production deploy authorization; external publisher accounts or explicit paid-media budget only when required","templates/base2026-dataset.html; docs/PUBLIC_DATASET_QUICKSTART.md; examples/query_public_evidence.py; examples/base2026-public-dataset-catalog.json; scripts/build-base2026-cloudflare-release.py; scripts/check-cloudflare-public-artifact-policy.py","PR23 merge f900055333e27f06e4f864ba4695636f8cc3bc7e; Worker fadc6c25-1d9f-4805-aed2-614e1463a018; artifact 9e56f5002e3f684adb639388e701ee8d44405db2a53b7a208a390c80db0b0101; GitHub release public-data-v2026.08.29; live /dataset; Enigmavista Dreamwood and Aster contextual references live","Search-engine processing is asynchronous; Golem code is merged but production deploy is blocked by GitHub Actions startup failure and rejected local SSH keys","Observe discovery/referrals; restore verified Golem deploy access without bypass; verify license then prepare free Hugging Face and Zenodo distribution; no paid ranking links",2026-08-29
16,Production source synchronization and live public stats,done/live,Codex,None,"templates/base2026-founder.html; templates/base2026-founder.css; templates/base2026-startup-homepage.html; templates/base2026-evidence-brief.js; cloudflare/base2026-worker/src/index.ts; web/static/api.html; web/static/analytics.html","PR19 dbc273782 plus PR20 f06a27aa2; public Worker 79e3677f-3828-4355-8c59-8801458f0fb2; artifact 4abe1a4f67ff8e67c81578429f8bb1776a3ea6f9f62a33e1ce81d198ee80d83e; live stats 2175 documents 1574 videos 50 routes 83 cards 0 transcripts","None; independent review defect corrected in v3","Observe GSC/Bing and preserve current release unless a concrete defect appears",2026-08-29
15,Evidence Brief V2 and homepage product polish,done/live,Codex,None,"cloudflare/base2026-worker/src/index.ts; templates/base2026-startup-homepage.html; templates/base2026-startup-homepage.css; templates/base2026-evidence-brief.js; scripts/build-base2026-cloudflare-release.py","public Worker 35a2ee9e-1d95-45c4-b971-26f19183d732; rollback dcbeb2e9-27af-4d45-b510-fdaaea055f4a; artifact af3641c48f0ff59a7686c623835c07fab39b7b0e5908f6a9d12290cb8e212a52; 2170 documents; 1572 sources; 48 public evidence routes; zero public full transcripts",None,"Observe traffic and first meaningful GSC/Bing readback; change homepage only for a concrete defect",2026-08-28
14,SEO GEO positioning and search-engine growth,done/live-measurement-active,Codex,None,"cloudflare/base2026-worker; scripts/build-base2026-cloudflare-release.py; scripts/check-base2026-design-authority.py; docs/public-pages; web/static/roadmap.js","public Worker 3f5a6687-4eb8-4ba5-9610-7fe2533282ba; rollback 63d1f529-47ff-46ba-baeb-db77f6e80fc6; 2150 documents; 1563 videos; 39 projections; GSC and Bing connected; DataForSEO receipt $0.077","Search-engine processing remains asynchronous; GitHub CodeQL is externally billing-locked","Monitor GSC/Bing and build 10-15 source-backed evidence maps; use DataForSEO only for a concrete priced decision",2026-08-28
13,Cloudflare capture fairness and transport repair,in_progress/live-observation,Codex,None,"cloudflare/base2026-pipeline-control/src/discovery-runtime.ts; cloudflare/base2026-pipeline-control/src/player-api-capture.ts; cloudflare/base2026-pipeline-control/src/container-capture.ts; cloudflare/base2026-pipeline-control/container","private Worker 4d9f291e-0f7e-4795-adb4-e18c5f028d58; discovery 18 active 1 failed; one media canary completed; Container app v8 running","Container telemetry is contradictory at active1 healthy0 with no errors; webhivedigital has no exact current video link","Do one read-only readiness observation; no restart loop; prove Container fallback only on a real eligible candidate",2026-08-29
12,Cloudflare TikTok evidence and public projection pipeline,done/live-auto-publication,Codex,None,"cloudflare/base2026-pipeline-control; cloudflare/base2026-worker; cloudflare/base2026-pipeline-control/migrations/0011_automatic_publication.sql; cloudflare/base2026-pipeline-control/migrations/0012_publication_eligibility_and_projection_leases.sql; PRIVATE_BASE2026_WORK_INBOX/cloud-*","private Worker v0.6.1 70fd6e68-ea54-462d-ba27-e3b1a66fa997; public Worker 790e21d6-f341-4265-ae0c-7dc536a32495; rollbacks private f9e4a494-9780-4bd2-bb33-5b7f5a068f81/public 86faccf2-e986-4437-a39a-4b3d66a1883f; migrations private 0001-0012 none pending; public 2136 documents 1557 videos 33 projection receipts 44 cards; private imports35 projections33 ready0; registry4123 eligible209 invalid0","Policy base2026.machine-publication.v1 owner-20260823-base2026-auto-publication-v1 SHA b37c900a03eb63252c7736c2197f2be1eae3f117eae76914f3cbef306d89e573; first run attempted3/applied2/already_public1/retry0/held0/hard_hold false; dedicated automatic/import/projection true; broad PUBLIC_RELEASE and local adapter false; public34/34 private183/183 courier18/18; malformed/privacy/mismatch fail closed","Observe and record the first full post-release daily discovery cycle at 2026-08-24 10:00 UTC; it has not happened; final */5 reconcile dispatched/recovered/dead-lettered/resumed all0; capture status/attempted/succeeded/failed completed:0:0:0; automatic attempted/applied/already_public/retried/held 0:0:0:0:0; signed hard_hold=false; 18 pending AI jobs resume under next daily budget",2026-08-23
11,Outreach intelligence search extension,done/live,Codex,None,"private Outreach workbook; scripts/export-public-outreach.py; cloudflare/base2026-worker; publication Workspace sources","docs/project-memory/BASE2026_OUTREACH_PRODUCTION_RELEASE_2026_08_21.md; docs/project-memory/BASE2026_OUTREACH_ARCHITECTURE_2026_08_21.md; docs/schemas/PUBLIC_OUTREACH_JSONL_SCHEMA.md","Worker 806e35c7-f230-4e77-aeea-15169b4faaf0 live; 78 curated findings in isolated OUTREACH_DB; live desktop/mobile/API gates pass","Future additions require a new semantic selection and controlled release; preserve rollback 34bdf3fe-90f8-4580-a88b-d39503655818",2026-08-21
10,Independent Base2026 design recovery,done/live,Codex,None,templates/base2026-startup-*.html; templates/base2026-core.css; scripts/build-base2026-cloudflare-release.py; scripts/generate-public-pages.py; scripts/generate-info-pages.py,docs/project-memory/BASE2026_DESIGN_RECOVERY_CANDIDATE_2026_08_20.md; docs/project-memory/BASE2026_EMAIL_ROUTING_2026_08_20.md,"Worker 34bdf3fe-90f8-4580-a88b-d39503655818 live; iPhone homepage scroll hotfix verified; Google Workspace Gmail activated; MX/SPF/DKIM/DMARC public; AboutMyEmail SPF/DKIM/DMARC pass",Observe DMARC reports; preserve immediate Worker rollback 48d8ea7e-f9db-464c-a173-265ab991fc24; no further scroll action unless owner reports a real-device residual,2026-08-20
0,Repo hygiene and publication boundary,done,Codex,None,.gitignore; docs/GIT_PUBLICATION_AUDIT.md,AGENTS.md; docs/project-memory/PUBLICATION_BOUNDARY.md,None,Prepare first public-safe commit,2026-06-06
1,Public TikTok dataset model,done,Codex,None,public-data/tiktok; scripts/export-public-tiktok.py; scripts/check-public-export-policy.py; docs/schemas/PUBLIC_JSONL_SCHEMA.md,public source records passages creators and insight cards,Generated export not committed,Keep export reproducible and uncommitted,2026-06-07
