keyword_or_topic,intent,target_url_or_artifact,source,status,note
ai visibility audit for local service businesses,commercial/informational,/knowledge/ai-visibility-audit-for-local-service-businesses/,data/ai_visibility_pages_batch01.json + generator,indexable,Broad hub kept indexable.
contractor marketing ai visibility,commercial/informational,/knowledge/contractor-marketing-ai-visibility/,data/ai_visibility_pages_batch01.json + generator,indexable,Broad hub kept indexable.
hvac marketing ai visibility,commercial/informational,/knowledge/hvac-marketing-ai-visibility/,data/ai_visibility_pages_batch01.json + generator,indexable,Broad hub kept indexable; HVAC display normalized.
roofing marketing ai visibility,commercial/informational,/knowledge/roofing-marketing-ai-visibility/,data/ai_visibility_pages_batch01.json + generator,indexable,Broad hub kept indexable.
los angeles roofers ai visibility audit,local commercial,/knowledge/california/los-angeles-roofers-ai-visibility-audit/,data/ai_visibility_pages_batch01.json,noindex,Held out of sitemap until unique local evidence exists.
california city/niche ai visibility pages,local commercial,/knowledge/california/*-ai-visibility-audit/,QA duplicate check,noindex,16 pages noindexed because current copy is too templated for pSEO safety.
ai visibility pages,navigational/research,/knowledge/ai-visibility-pages/,generator index page,indexable,Collection page now has H1 and indexing policy note.
base2026 topics,navigational,/knowledge/topics/,web/static/topics/*.html,indexable,Created index page to fix nav link and expose topic archive.
base2026 creators,navigational,/knowledge/creators/,web/static/creators/*.html,indexable,Created index page to fix nav link and expose creator archive.
press releases as AI visibility evidence,research/commercial,docs/research/TIKTOK_PRESS_RELEASE_AI_VISIBILITY_CASE_2026_06_26.md,internal TikTok case note,blocked,Needs external source verification and public rewrite.
measuring AI visibility when query/click data disappears,informational/commercial,candidate future page,reviewed insight tiktok:tjrobertson52:7647384874541731086,planned,Best next source-backed page candidate.
measuring AI visibility without query/click data,informational/commercial,/knowledge/measuring-ai-visibility-without-query-click-data/,official Google docs + reviewed TikTok insight cards,live,indexable page deployed in `base2026-nightshift-ai-visibility-measurement-socialfix-20260626`; included in child sitemap.
social preview metadata for AI visibility pages,social/SEO,/knowledge/static/assets/base2026-ai-visibility-card.png,generator + 1200x630 local asset,live,OG/X metadata completed; live crawl warning_groups=0.
ai-ready business documentation for service pages,informational/commercial,/knowledge/ai-ready-business-documentation-for-service-pages/,official Google docs + reviewed TikTok insight cards,live,indexable page deployed in `base2026-ai-ready-documentation-page-20260626`; included in child sitemap.
review sentiment and ai visibility for local businesses,informational/commercial,/knowledge/review-sentiment-and-ai-visibility-for-local-businesses/,official Google docs + reviewed TikTok insight cards,live,indexable page deployed in `base2026-review-sentiment-ai-visibility-20260626`; included in release sitemap.
service-area pages and ai visibility for local businesses,informational/commercial,/knowledge/service-area-pages-and-ai-visibility-for-local-businesses/,official Google docs + reviewed TikTok insight cards,live,indexable page deployed in `base2026-service-area-ai-visibility-20260626`; included in child sitemap.
