priority,cluster,layer,page_type,template_family,url,live_status,robots,canonical,index_gate,gate_reason,google_action,bing_indexnow_action,notes
1,AI visibility proof,Alex conversion layer,money_page,alex-commercial-template,https://aggressorbulkit.online/ai-visibility-audit/,200,max-image-preview:large,https://aggressorbulkit.online/ai-visibility-audit/,pass,eligible,GSC inspect first,include_after_key_setup,First controlled CTPH/MoneyPage batch; do not expand to city/niche drafts until unique evidence gate passes.
2,AI visibility proof,Alex conversion layer,money_page,alex-commercial-template,https://aggressorbulkit.online/ai-visibility-diagnostic-audit/,200,max-image-preview:large,https://aggressorbulkit.online/ai-visibility-diagnostic-audit/,pass,eligible,GSC inspect first,include_after_key_setup,First controlled CTPH/MoneyPage batch; do not expand to city/niche drafts until unique evidence gate passes.
3,Technical SEO / GEO foundation,Alex conversion layer,money_page,alex-commercial-template,https://aggressorbulkit.online/technical-seo-geo-foundation/,200,max-image-preview:large,https://aggressorbulkit.online/technical-seo-geo-foundation/,pass,eligible,GSC inspect first,include_after_key_setup,First controlled CTPH/MoneyPage batch; do not expand to city/niche drafts until unique evidence gate passes.
4,Answer-ready service pages,Alex conversion layer,money_page,alex-commercial-template,https://aggressorbulkit.online/answer-ready-service-pages/,200,max-image-preview:large,https://aggressorbulkit.online/answer-ready-service-pages/,pass,eligible,GSC inspect first,include_after_key_setup,First controlled CTPH/MoneyPage batch; do not expand to city/niche drafts until unique evidence gate passes.
5,Entity trust / source intelligence,Alex conversion layer,money_page,alex-commercial-template,https://aggressorbulkit.online/entity-trust-source-intelligence/,200,max-image-preview:large,https://aggressorbulkit.online/entity-trust-source-intelligence/,pass,eligible,GSC inspect first,include_after_key_setup,First controlled CTPH/MoneyPage batch; do not expand to city/niche drafts until unique evidence gate passes.
6,Commercial navigation,Alex conversion layer,money_page,alex-commercial-template,https://aggressorbulkit.online/services/,200,max-image-preview:large,https://aggressorbulkit.online/services/,pass,eligible,GSC inspect first,include_after_key_setup,First controlled CTPH/MoneyPage batch; do not expand to city/niche drafts until unique evidence gate passes.
7,Commercial navigation,Alex conversion layer,money_page,alex-commercial-template,https://aggressorbulkit.online/pricing/,200,max-image-preview:large,https://aggressorbulkit.online/pricing/,pass,eligible,GSC inspect first,include_after_key_setup,First controlled CTPH/MoneyPage batch; do not expand to city/niche drafts until unique evidence gate passes.
8,Base2026 core proof,Base2026 proof layer,proof_hub,static-info-or-hub-template,https://aggressorbulkit.online/knowledge/,200,"index,follow",https://aggressorbulkit.online/knowledge/,pass,eligible,GSC priority inspect,include_after_key_setup,First controlled CTPH/MoneyPage batch; do not expand to city/niche drafts until unique evidence gate passes.
9,AI visibility proof,Base2026 CTPH layer,ctph_hub,ai-visibility-page-index-template,https://aggressorbulkit.online/knowledge/ai-visibility-pages/,200,"index,follow",https://aggressorbulkit.online/knowledge/ai-visibility-pages/,pass,eligible,GSC priority inspect,include_after_key_setup,First controlled CTPH/MoneyPage batch; do not expand to city/niche drafts until unique evidence gate passes.
10,Answer-ready service pages,Base2026 CTPH layer,ctph_proof,source-backed-ai-visibility-template,https://aggressorbulkit.online/knowledge/service-area-pages-and-ai-visibility-for-local-businesses/,200,"index,follow",https://aggressorbulkit.online/knowledge/service-area-pages-and-ai-visibility-for-local-businesses/,pass,eligible,GSC priority inspect,include_after_key_setup,First controlled CTPH/MoneyPage batch; do not expand to city/niche drafts until unique evidence gate passes.
